id;First;Last;Number;Street;City;State
68;Herbert;Coolidge;65573;Cabrillo Highway;Salt Lake City;NY
69;Grover;Van Buren;76745;San Ysidro Blvd;Columbia;MN
70;Calvin;Harrison;17512;Santa Monica Road;Baton Rouge;ca
71;Abraham;Hoover;34027;Grandview Drive;Augusta;IL
72;Gerald;Adams;65044;Santa Ana Freeway;Albany;CA
73;Dwight;Arthur;65616;Hutchinson Rd;Nashville;MN
74;James;Fillmore;77607;Bowles Avenue;Springfield;MN
75;Franklin;Johnson;65748;East Calle Primera;Indianapolis;ca
76;Rutherford;Arthur;49798;N Kentwood;Carson City;MN
77;Benjamin;Reagan;35525;North Ventu Park Road;Cheyenne;AK
78;Benjamin;Roosevelt;46838;Tully Road East;Lansing;MN
79;Richard;Coolidge;53443;Cleveland Ave.;Charleston;ak
80;Warren;Tyler;56024;E Fowler Avenue;Jackson;AL
81;James;Ford;78424;Erringer Road;Jackson;ak
82;Ulysses;Taft;80435;Castillo Drive;Dover;CA
83;Martin;Lincoln;48090;Erringer Road;Pierre;IL
84;Warren;Grant;39236;Carpinteria North;Jefferson City;MN
85;Gerald;Eisenhower;12903;Jones Road;Albany;NY
86;William;Buchanan;86382;Bayshore Freeway;Raleigh;ak
87;James;Harding;67244;N Harrison St;Phoenix;IL
88;Theodore;Wilson;18980;Harry S Truman Blvd;Hartford;ca
89;Richard;Madison;55838;Monroe Street;Santa Fe;ak
90;Abraham;Wilson;83959;Hutchinson Rd;Nashville;NY
91;John;Johnson;64872;Erringer Road;Olympia;CA
92;Rutherford;Harding;46743;Steele Lane;Boston;NY
93;John;Clinton;42059;Santa Ana Freeway;Columbus;ca
94;Andrew;Johnson;16064;Harbor Dr;Sacramento;IL
95;Thomas;Fillmore;26120;Jean de la Fontaine;Little Rock;ca
96;Chester;Taft;89505;North Preisker Lane;Cheyenne;AL
97;Lyndon;Cleveland;85642;North Atherton Street;Hartford;MN
98;Rutherford;Polk;99837;Santa Monica Road;Boise;CA
99;Thomas;Wilson;36910;Tanger Blvd;Salem;MN
100;Benjamin;Taylor;81222;North Erringer Road;Concord;MN
